threshold,accuracy,precision,recall,f1,TP,FP,TN,FN,expected_cost,outreach_count,cost_per_outreach
0.1,0.49112845990063875,0.34164358264081257,0.9893048128342246,0.5078929306794784,370,713,322,4,-33555.0,1083,15.0
0.15,0.5457771469127041,0.3667334669338677,0.9786096256684492,0.5335276967930029,366,632,403,8,-32270.0,998,15.0
0.2,0.589070262597587,0.3891891891891892,0.9625668449197861,0.5542725173210161,360,565,470,14,-29525.0,925,15.0
0.25,0.6259758694109298,0.4105263157894737,0.9385026737967914,0.5711960943856794,351,504,531,23,-24815.0,855,15.0
0.3,0.6529453513129879,0.42874845105328374,0.9251336898395722,0.5859441151566469,346,461,574,28,-22335.0,807,15.0
0.35,0.6763662171753017,0.4464751958224543,0.9144385026737968,0.6,342,424,611,32,-20390.0,766,15.0
0.4,0.7040454222853088,0.46879535558780844,0.8636363636363636,0.6077140169332079,323,366,669,51,-9385.0,689,15.0
0.45,0.723207948899929,0.48742138364779874,0.8288770053475936,0.6138613861386139,310,326,709,64,-1860.0,636,15.0
0.5,0.7352732434350603,0.5008488964346349,0.7887700534759359,0.612668743509865,295,294,741,79,7035.0,589,15.0
0.55,0.7579843860894251,0.5314285714285715,0.7459893048128342,0.6206896551724138,279,246,789,95,16315.0,525,15.0
0.6,0.7721788502484032,0.5555555555555556,0.7085561497326203,0.6227967097532315,265,212,823,109,24555.0,477,15.0
0.65,0.7835344215755855,0.5823389021479713,0.6524064171122995,0.6153846153846154,244,175,860,130,37125.0,419,15.0
0.7,0.7906316536550745,0.6100278551532033,0.5855614973262032,0.597544338335607,219,140,895,155,52225.0,359,15.0
0.75,0.7963094393186657,0.6570397111913358,0.48663101604278075,0.5591397849462365,182,95,940,192,74675.0,277,15.0
0.8,0.794180269694819,0.7,0.393048128342246,0.5034246575342466,147,63,972,227,96070.0,210,15.0
0.85,0.7799858055358411,0.7424242424242424,0.2620320855614973,0.38735177865612647,98,34,1001,276,126260.0,132,15.0
0.9,0.7494677075940384,0.7441860465116279,0.0855614973262032,0.15347721822541965,32,11,1024,342,167165.0,43,15.0
